playerID,Season,Lg,G,AB,H,2B,3B,HR,BB,SO,HBP,SF,birthYear,Age,PA,BA,OBP,SLG,OPS,LgAvgOPS,OPS_plus_lg
fostege01,1981,NL,108,414,122,23,2,22,51,75.0,3.0,4.0,1948.0,33.0,472.0,0.2946859903381642,0.3728813559322034,0.5193236714975845,0.8922050274297879,0.7172787944102041,124.38748146227022
fostege01,1982,NL,151,550,136,23,2,13,50,123.0,2.0,6.0,1948.0,34.0,608.0,0.24727272727272728,0.3092105263157895,0.36727272727272725,0.6764832535885168,0.7188431592757377,94.10721168580082
fostege01,1983,NL,157,601,145,19,2,28,38,111.0,4.0,4.0,1948.0,35.0,647.0,0.24126455906821964,0.2890262751159196,0.4193011647254576,0.7083274398413772,0.7248345451997836,97.72263815684218
fostege01,1984,NL,146,553,149,22,1,24,30,122.0,6.0,6.0,1948.0,36.0,595.0,0.2694394213381555,0.31092436974789917,0.4430379746835443,0.7539623444314434,0.7178654775908022,105.02836087922549
fostege01,1985,NL,129,452,119,24,1,21,46,87.0,2.0,4.0,1948.0,37.0,504.0,0.26327433628318586,0.33134920634920634,0.46017699115044247,0.7915261974996488,0.7193413807090917,110.03484836634878
fostege01,1986,NL,72,233,53,6,1,13,21,53.0,0.0,2.0,1948.0,38.0,256.0,0.22746781115879827,0.2890625,0.4291845493562232,0.7182470493562232,0.7254674313605938,99.00472692608282
fowlede01,2009,NL,135,433,115,29,10,4,67,116.0,1.0,3.0,1986.0,23.0,504.0,0.26558891454965355,0.3630952380952381,0.4064665127020785,0.7695617507973166,0.7600641164075329,101.2495833160332
fowlede01,2010,NL,132,439,114,20,14,6,57,104.0,2.0,0.0,1986.0,24.0,498.0,0.25968109339407747,0.3473895582329317,0.41002277904328016,0.7574123372762118,0.7457673180159473,101.56148157460763
fowlede01,2011,NL,125,481,128,35,15,5,68,130.0,6.0,1.0,1986.0,25.0,556.0,0.2661122661122661,0.36330935251798563,0.43243243243243246,0.795741784950418,0.7330934827455214,108.54574534891121
fowlede01,2012,NL,143,454,136,18,11,13,68,128.0,0.0,2.0,1986.0,26.0,524.0,0.29955947136563876,0.3893129770992366,0.473568281938326,0.8628812590375626,0.7433550690373609,116.07928633015004
fowlede01,2013,NL,119,415,109,18,3,12,65,105.0,6.0,2.0,1986.0,27.0,488.0,0.26265060240963856,0.36885245901639346,0.4072289156626506,0.776081374679044,0.7284124714272917,106.54421843689019
fowlede01,2014,AL,116,434,120,21,4,8,66,108.0,3.0,1.0,1986.0,28.0,504.0,0.2764976958525346,0.375,0.3986175115207373,0.7736175115207373,0.706628206823978,109.4801345389042
fowlede01,2015,NL,156,596,149,29,8,17,84,154.0,5.0,3.0,1986.0,29.0,688.0,0.25,0.34593023255813954,0.4110738255033557,0.7570040580614952,0.7377869528344596,102.60469572594182
fowlede01,2016,NL,125,456,126,25,7,13,79,124.0,11.0,4.0,1986.0,30.0,550.0,0.27631578947368424,0.3927272727272727,0.4473684210526316,0.8400956937799042,0.7523027787586992,111.66989109970635
fowlede01,2017,NL,118,420,111,22,9,18,63,101.0,4.0,4.0,1986.0,31.0,491.0,0.2642857142857143,0.3625254582484725,0.4880952380952381,0.8506206963437106,0.7808107498990416,108.94069996522144
